Level,Course,Lesson,Lesson Title,Severity,Exact Location,Specific Issue,Recommended Solution,Source URL,Status
Middle School,1 – Basic Nutrition,1,What is Nutrition?,High,Reading: “Nutrition Affects Your Health”; Quiz Q8–15,"The reading uses moral/guaranteed language (“good nutrition = …”; “poor nutrition = …”), while most of the quiz tests food labels, food safety, breakfast, activity and balanced meals before those topics are taught.","Replace guaranteed language with “can support” and “patterns low in key nutrients may contribute to.” Label the quiz as a baseline pre-assessment, do not grade it, and repeat it as a post-assessment at course end.",https://wellsnaxteam.github.io/curriculum/lesson-1-1.html,Open
Middle School,1 – Basic Nutrition,2,Food Groups,High,Reading: fruit and dairy sections; Quiz Q10,The lesson says whole fruit has “less sugar” than juice and marks fresh fruit as inherently more nutrient-dense than frozen or canned fruit. Fortified almond milk is also grouped with dairy without explaining that protein and nutrient profiles differ.,"Say whole fruit generally contains more fiber and is easier to portion than juice. Teach that fresh, frozen and canned fruit can all be nutritious; compare added sugar/syrup. Prefer fortified soy milk as the closest dairy substitute and instruct students to compare labels.",https://wellsnaxteam.github.io/curriculum/lesson-1-2.html,Open
Middle School,1 – Basic Nutrition,3,Building a Balanced Plate,High,Reading: dairy recommendation; Activity,"The lesson tells students to choose full-fat dairy with no added sugar, but the example later uses low-fat milk. The 21-meal assignment is too large for a 25–30 minute activity and may penalize students with limited food access.",Use neutral wording: choose dairy or fortified alternatives that fit individual needs; compare added sugar and saturated fat. Reduce the activity to three meals or one sample day and allow culturally familiar or school-meal examples.,https://wellsnaxteam.github.io/curriculum/lesson-1-3.html,Open
Middle School,1 – Basic Nutrition,4,Understanding Macronutrients,Medium,Reading: carbohydrate and fat categories,"Simple carbohydrates are presented as “fast energy” and complex carbohydrates as “sustained energy,” while fats are labeled healthy, less healthy and unhealthy. This oversimplifies mixed foods and encourages food morality.","Explain that digestion speed depends on fiber, processing, portion and what foods are eaten together. Use “unsaturated,” “saturated” and “trans fat,” with guidance to emphasize unsaturated fats and limit trans fat.",https://wellsnaxteam.github.io/curriculum/lesson-1-4.html,Open
Middle School,1 – Basic Nutrition,5,Understanding Micronutrients,High,Reading and quiz,The lesson likely treats individual vitamins and minerals as producing immediate visible outcomes rather than supporting normal body functions; this can lead students to self-diagnose deficiencies.,"Tie each nutrient to established functions and food sources, state that symptoms have many possible causes, and direct persistent concerns to a healthcare professional rather than using food intake as a diagnosis.",https://wellsnaxteam.github.io/curriculum/lesson-1-5.html,Open
Middle School,1 – Basic Nutrition,6,Reading Food Labels,High,Reading: label rules; Quiz calculations,"Label evaluation is presented as a single-food judgment instead of considering serving size, eating occasion and overall pattern. “Low” and “high” thresholds need to use the FDA 5%/20% Daily Value rule consistently.","Teach the sequence: serving size, servings eaten, calories, nutrients to get more/less of, ingredient list, then context. Use 5% DV or less as low and 20% DV or more as high, with worked examples.",https://wellsnaxteam.github.io/curriculum/lesson-1-6.html,Open
Middle School,1 – Basic Nutrition,7,Analyzing Meals & Snacks,Critical,Quiz: cereal comparison question,"A quiz answer identifies the cereal with 3 g fiber and 8 g added sugar as healthier than the cereal with 1 g fiber and 2 g added sugar. With only those facts, there is no single defensible answer.","Either provide full labels and ask students to explain the tradeoff, or change the options so one choice is clearly higher in fiber and lower in added sugar. Accept reasoned answers when tradeoffs exist.",https://wellsnaxteam.github.io/curriculum/lesson-1-7.html,Open
Middle School,1 – Basic Nutrition,8,Planning Meals for Daily Nutrition,Medium,Activity: meal planning,"Meal planning can become a compliance exercise that assumes students control grocery purchasing, cooking and household budgets.","Frame the task as designing options rather than reporting family behavior. Include budget, school cafeteria, food access, cultural foods and no-cook alternatives. Grade reasoning, not whether the household follows the plan.",https://wellsnaxteam.github.io/curriculum/lesson-1-8.html,Open
Middle School,1 – Basic Nutrition,9,Food Marketing & Claims,High,Reading: front-of-package claims,"Claims are discussed as if they are inherently deceptive, without distinguishing regulated claims from vague marketing language.","Separate nutrient-content claims, health claims, structure/function claims and unregulated marketing terms. Teach students to verify any front claim against serving size, Nutrition Facts and ingredients.",https://wellsnaxteam.github.io/curriculum/lesson-1-9.html,Open
Middle School,1 – Basic Nutrition,10,Nutrition Across the World,High,Reading/activity: cultural diets,A world-nutrition lesson can easily stereotype cultures or rank cuisines as healthy/unhealthy if it focuses on a few representative foods.,"Use multiple examples within each region, acknowledge migration and household variation, and ask how different cuisines achieve balance rather than ranking cultures. Include student-selected family or community foods.",https://wellsnaxteam.github.io/curriculum/lesson-1-10.html,Open
